Index,team_name,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,RPt%,ROW
0,Montreal Canadiens*,82,47,26,9,103,0.628,226,200,0.31,-0.01,0.567,44
1,Ottawa Senators*,82,44,28,10,98,0.598,212,214,-0.01,0.01,0.524,38
2,Boston Bruins*,82,44,31,7,95,0.579,234,212,0.27,0.00,0.543,42
3,Toronto Maple Leafs*,82,40,27,15,95,0.579,251,242,0.11,0.00,0.530,39
4,Tampa Bay Lightning,82,42,30,10,94,0.573,234,227,0.09,0.01,0.506,38
5,Florida Panthers,82,35,36,11,81,0.494,210,237,-0.30,0.03,0.433,30
6,Detroit Red Wings,82,33,36,13,79,0.482,207,244,-0.41,0.04,0.348,24
7,Buffalo Sabres,82,33,37,12,78,0.476,201,237,-0.41,0.03,0.427,31
8,Washington Capitals*,82,55,19,8,118,0.720,263,182,0.99,0.00,0.689,53
9,Pittsburgh Penguins*,82,50,21,11,111,0.677,282,234,0.59,0.01,0.616,46
10,Columbus Blue Jackets*,82,50,24,8,108,0.659,249,195,0.68,0.02,0.610,48
11,New York Rangers*,82,48,28,6,102,0.622,256,220,0.47,0.03,0.591,45
12,New York Islanders,82,41,29,12,94,0.573,241,242,0.03,0.05,0.512,39
13,Philadelphia Flyers,82,39,33,10,88,0.537,219,236,-0.17,0.04,0.463,32
14,Carolina Hurricanes,82,36,31,15,87,0.530,215,236,-0.21,0.05,0.457,33
15,New Jersey Devils,82,28,40,14,70,0.427,183,244,-0.67,0.08,0.341,25
16,Chicago Blackhawks*,82,50,23,9,109,0.665,244,213,0.32,-0.06,0.591,46
17,Minnesota Wild*,82,49,25,8,106,0.646,266,208,0.63,-0.08,0.591,46
18,St. Louis Blues*,82,46,29,7,99,0.604,235,218,0.17,-0.04,0.561,44
19,Nashville Predators*,82,41,29,12,94,0.573,240,224,0.16,-0.04,0.512,39
20,Winnipeg Jets,82,40,35,7,87,0.530,249,256,-0.11,-0.03,0.476,37
21,Dallas Stars,82,34,37,11,79,0.482,223,262,-0.48,-0.01,0.421,33
22,Colorado Avalanche,82,22,56,4,48,0.293,166,278,-1.32,0.05,0.274,21
23,Anaheim Ducks*,82,46,23,13,105,0.640,223,200,0.24,-0.04,0.561,43
24,Edmonton Oilers*,82,47,26,9,103,0.628,247,212,0.37,-0.06,0.579,43
25,San Jose Sharks*,82,46,29,7,99,0.604,221,201,0.21,-0.03,0.555,44
26,Calgary Flames*,82,45,33,4,94,0.573,226,221,0.02,-0.04,0.537,41
27,Los Angeles Kings,82,39,35,8,86,0.524,201,205,-0.07,-0.02,0.488,37
28,Arizona Coyotes,82,30,42,10,70,0.427,197,260,-0.76,0.01,0.341,24
29,Vancouver Canucks,82,30,43,9,69,0.421,182,243,-0.73,0.01,0.354,26